entry_date,exit_date,direction,entry_price,exit_price,gross_ret,net_ret,pnl,equity,win,stopped_out,month
2024-04-24,2024-04-29,Long,2324.5,2299.9,-1.058,-1.078,-1078.3,98921.7,False,False,2024-04
2024-05-03,2024-05-08,Long,2299.0,2367.3,2.971,2.951,2919.04,101840.74,True,False,2024-05
2024-05-13,2024-05-18,Long,2336.1,2433.9,4.186,4.166,4243.15,106083.89,True,False,2024-05
2024-05-21,2024-05-28,Long,2421.7,2355.2,-2.746,-2.766,-2934.29,103149.61,False,True,2024-05
2024-06-18,2024-06-23,Long,2330.4,2299.2,-1.339,-1.359,-1401.62,101747.99,False,False,2024-06
2024-07-02,2024-07-07,Long,2323.0,2372.2,2.118,2.098,2134.62,103882.61,True,False,2024-07
2024-07-11,2024-07-25,Long,2415.0,2351.9,-2.613,-2.633,-2735.06,101147.54,False,True,2024-07
2024-07-25,2024-07-30,Long,2351.9,2435.0,3.533,3.513,3553.63,104701.18,True,False,2024-07
2024-08-07,2024-08-12,Long,2390.5,2439.4,2.046,2.026,2120.82,106822.0,True,False,2024-08
2024-08-14,2024-08-19,Long,2439.4,2508.4,2.829,2.809,3000.16,109822.16,True,False,2024-08
2024-09-05,2024-09-10,Long,2511.4,2551.2,1.585,1.565,1718.47,111540.63,True,False,2024-09
2024-09-12,2024-09-17,Long,2551.2,2588.0,1.442,1.422,1586.62,113127.25,True,False,2024-09
2024-09-19,2024-10-01,Short,2588.0,2667.3,-3.064,-3.084,-3489.01,109638.25,False,True,2024-09
2024-10-09,2024-10-14,Long,2606.0,2674.0,2.609,2.589,2838.93,112477.18,True,False,2024-10
2024-10-16,2024-10-21,Long,2674.0,2714.4,1.511,1.491,1676.86,114154.04,True,False,2024-10
2024-10-31,2024-11-05,Short,2738.3,2698.4,1.457,1.437,1640.52,115794.56,True,False,2024-10
2024-11-07,2024-11-12,Short,2698.4,2568.2,4.825,4.805,5564.02,121358.58,True,False,2024-11
2024-11-22,2024-11-27,Short,2709.9,2634.9,2.768,2.748,3334.48,124693.06,True,False,2024-11
2024-12-10,2024-12-13,Long,2697.6,2656.0,-1.542,-1.562,-1947.85,122745.22,False,True,2024-12
2024-12-17,2024-12-22,Short,2644.4,2620.0,0.923,0.903,1108.02,123853.24,True,False,2024-12
2025-01-02,2025-01-07,Long,2658.9,2708.5,1.865,1.845,2285.63,126138.87,True,False,2025-01
2025-01-13,2025-01-23,Short,2673.5,2763.1,-3.351,-3.371,-4252.67,121886.21,False,True,2025-01
2025-01-27,2025-01-31,Short,2737.5,2812.5,-2.74,-2.76,-3363.73,118522.48,False,True,2025-01
2025-02-04,2025-02-18,Short,2853.3,2931.6,-2.744,-2.764,-3276.19,115246.29,False,True,2025-02
2025-02-20,2025-02-28,Long,2940.0,2836.8,-3.51,-3.53,-4068.43,111177.86,False,True,2025-02
2025-03-07,2025-03-12,Long,2904.7,2994.5,3.092,3.072,3414.88,114592.74,True,False,2025-03
2025-03-21,2025-03-26,Long,3018.2,3086.5,2.263,2.243,2570.25,117162.99,True,False,2025-03
2025-03-31,2025-04-04,Long,3122.8,3012.0,-3.548,-3.568,-4180.49,112982.49,False,True,2025-03
2025-04-07,2025-04-12,Long,2951.3,3204.8,8.589,8.569,9681.96,122664.45,True,False,2025-04
2025-04-14,2025-04-21,Short,3204.8,3406.2,-6.284,-6.304,-7733.16,114931.29,False,True,2025-04
2025-04-25,2025-04-30,Short,3282.4,3231.9,1.539,1.519,1745.24,116676.54,True,False,2025-04
2025-05-05,2025-05-14,Long,3311.3,3181.4,-3.923,-3.943,-4600.48,112076.06,False,True,2025-05
2025-05-14,2025-05-19,Long,3181.4,3309.3,4.02,4.0,4483.32,116559.38,True,False,2025-05
2025-05-28,2025-06-02,Long,3293.6,3373.5,2.426,2.406,2804.32,119363.69,True,False,2025-05
2025-06-09,2025-06-14,Long,3332.1,3396.4,1.93,1.91,2279.5,121643.19,True,False,2025-06
2025-06-17,2025-06-22,Short,3386.6,3327.1,1.757,1.737,2112.85,123756.04,True,False,2025-06
2025-07-02,2025-07-07,Long,3348.0,3317.4,-0.914,-0.934,-1155.86,122600.18,False,False,2025-07
